,team,gw1,gw2,gw3,gw4,gw5,gw6,total
0,Manchester City,0.53,0.61,0.56,0.61,0.55,0.72,3.58
1,Liverpool,0.32,0.3,0.39,0.56,0.61,0.43,2.62
2,Leicester,0.39,0.33,0.28,0.37,0.45,0.57,2.39
3,Burnley,0.55,0.36,0.53,0.3,0.38,0.27,2.38
4,Tottenham,0.53,0.21,0.3,0.57,0.42,0.3,2.34
5,Southampton,0.42,0.41,0.29,0.21,0.45,0.48,2.27
6,Chelsea,0.51,0.53,0.31,0.3,0.32,0.24,2.21
7,Everton,0.21,0.56,0.24,0.37,0.24,0.53,2.16
8,Manchester United,0.33,0.45,0.53,0.27,0.19,0.35,2.12
9,Aston Villa,0.32,0.42,0.27,0.2,0.4,0.41,2.02
10,Arsenal,0.28,0.32,0.27,0.25,0.48,0.35,1.94
11,Brighton,0.42,0.29,0.35,0.38,0.25,0.24,1.93
12,West Ham,0.46,0.53,0.31,0.16,0.26,0.17,1.89
13,Fulham,0.32,0.23,0.55,0.31,0.22,0.22,1.85
14,Crystal Palace,0.12,0.41,0.31,0.43,0.14,0.35,1.76
15,Wolverhampton,0.21,0.2,0.21,0.35,0.17,0.21,1.33
16,Leeds,0.27,0.17,0.25,0.22,0.15,0.2,1.25
17,Newcastle,0.22,0.13,0.1,0.3,0.27,0.19,1.2
18,West Brom,0.08,0.09,0.24,0.29,0.27,0.11,1.07
19,Sheffield Utd,0.17,0.12,0.32,0.16,0.19,0.09,1.06
